food,Caloric Value,Fat,Carbohydrates,Protein,Sugars,Dietary Fiber,Sodium,Cholesterol,Nutrition Density
lamb rib raw,1687,156.0,0.0,65.9,0.0,0.0,0.3,344.7,296.2
lamb shoulder raw,1198,97.3,0.0,75.2,0.0,0.0,0.3,326.6,251.9
lamb meat raw,1102,84.6,0.0,79.6,0.0,0.0,0.3,317.5,225.9
lamb shoulder cooked,750,53.5,0.0,62.5,0.0,0.0,0.2,252.9,175.7
mutton cooked,66,3.1,0.027,9.5,0.0,0.0,0.07,30.8,16.744
lamb leg cooked,684,43.7,0.0,67.7,0.0,0.0,0.2,246.5,145.8
beef stick,110,9.9,1.1,4.3,0.0,0.0,0.3,26.6,31.0
veal sirloin cooked,517,26.9,0.0,64.1,0.0,0.0,0.2,221.4,128.4
veal rib cooked,444,22.2,0.0,57.4,0.0,0.0,0.2,246.0,121.0
veal meat cooked,483,23.8,0.0,62.9,0.0,0.0,0.2,238.3,135.1
beef rib roasted,238,19.1,0.0,15.4,0.0,0.0,0.01,57.0,42.8
veal sirloin raw,689,35.4,0.0,86.5,0.0,0.0,0.3,353.8,175.3
beef top loin filet grilled,323,19.0,0.8,37.0,0.0,0.0,0.1,116.1,58.507
beef under blade steak cooked,983,46.7,0.0,140.8,0.0,0.0,0.3,480.4,191.483
mock tender steak raw,244,8.3,0.0,42.2,0.0,0.0,0.2,132.7,77.128
ground beef cooked,375,24.8,0.0,35.5,0.0,0.0,0.1,122.3,62.697
ground beef raw,1506,136.1,0.0,65.1,0.0,0.0,0.3,353.8,317.5
beef diced asda,48,0.7,10.5,0.0,0.054,0.0,0.0,0.0,11.2
veal rib raw,735,40.9,0.0,85.5,0.0,0.0,0.4,372.0,189.3
ground veal raw,41,1.9,0.0,5.5,0.0,0.0,0.029,23.2,11.8
t bone steak cooked,1049,74.1,0.0,89.3,0.0,0.0,0.2,301.3,170.6
veal leg round raw,531,14.0,0.0,95.2,0.0,0.0,0.3,353.8,135.5
beef top sirloin steak raw,1222,77.3,0.0,123.4,0.0,0.0,0.3,456.0,355.6
beef plate steak grilled,508,35.6,0.0,47.1,0.0,0.0,0.1,177.5,85.652
ground veal cooked,514,22.6,0.0,72.9,0.0,0.0,0.2,308.0,149.3
veal leg round cooked,574,17.2,0.0,98.4,0.0,0.0,0.2,364.5,141.0
porterhouse steak raw,1170,91.1,0.0,81.6,0.0,0.0,0.2,308.4,208.7
veal shank raw,513,15.8,0.0,86.9,0.0,0.0,0.4,340.2,196.8
veal breast cooked,753,47.5,0.0,76.3,0.0,0.0,0.2,319.8,151.5
corned beef canned,53,3.1,0.0,5.7,0.0,0.0,0.2,18.1,11.7
rib eye steak grilled,680,47.7,0.0,62.4,0.0,0.0,0.1,195.8,146.262
veal shoulder raw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t bone steak raw,1052,76.3,0.0,85.7,0.0,0.0,0.2,281.2,198.7
sirloin steak,324,14.1,0.0,49.5,0.0,0.0,0.6,144.4,65.5
mock tender steak cooked,137,4.9,0.0,21.9,0.0,0.0,0.028,55.3,36.2
beef round steak cooked,385,12.1,0.0,64.8,0.0,0.0,0.011,174.3,96.5
chuck blade roast raw,1125,88.0,0.0,77.8,0.0,0.0,0.3,322.1,220.5
beef shoulder steak raw,349,17.3,0.0,48.2,0.0,0.0,0.2,164.9,100.218
beef top blade cooked,184,10.0,0.0,21.9,0.0,0.0,0.002,51.9,40.2
corned beef cooked,53,4.0,0.006,3.8,0.0,0.0,0.2,20.6,9.905
beef round steak raw,753,36.0,0.0,100.1,0.0,0.0,0.3,313.0,239.8
beef shoulder steak grilled,155,5.8,0.0,24.0,0.0,0.0,0.014,68.9,42.589
chuck eye steak raw,856,62.8,0.0,72.4,0.0,0.0,0.3,261.1,197.159
beef bottom round steak cooked,980,35.1,0.0,155.8,0.0,0.0,0.2,426.4,235.7
porterhouse steak cooked,235,16.4,0.0,20.4,0.0,0.0,0.085,57.0,45.3
beef under blade steak raw,1235,80.8,0.0,126.8,0.0,0.0,0.3,431.0,283.198
beef plate steak raw,617,46.8,0.9,47.8,0.0,0.0,0.2,188.9,120.656
beef meat canned,111,7.9,0.0,9.2,0.0,0.0,0.095,34.7,22.6
beef breakfast strips raw,92,8.8,0.2,2.8,0.0,0.0,0.2,18.5,18.4
beef brisket cooked,589,43.6,0.0,46.0,0.0,0.0,0.1,165.5,106.5
corned beef raw,898,67.6,0.6,66.6,0.0,0.0,5.5,244.9,296.8
beef mince meat asda,55,3.1,6.8,0.0,0.054,0.0,0.0,0.0,9.9
pastrami beef fat free,9,0.1,0.1,1.9,0.0,0.0,0.005,4.5,6.6
rib eye steak raw,743,54.5,0.4,62.8,0.0,0.0,0.2,221.7,149.722
beef tenderloin steak cooked,374,24.0,0.0,37.0,0.0,0.0,0.061,135.8,90.0
chuck blade roast cooked,842,62.0,0.0,66.1,0.0,0.0,0.2,256.9,167.9
cured beef dried,4,0.019,0.06,0.9,0.006,0.0,0.049,2.2,1.333
beef flank steak cooked,380,17.5,0.0,51.8,0.0,0.0,0.068,152.3,106.5
chuck eye steak grilled,853,60.5,0.0,76.9,0.0,0.0,0.2,268.0,142.79
veal meat raw,653,30.7,0.0,87.8,0.0,0.0,0.4,372.0,190.3
veal loin cooked,80,4.9,0.0,8.5,0.0,0.0,0.001,33.4,21.6
veal loin raw,46,2.6,0.0,5.3,0.0,0.0,0.079,22.4,12.6
veal shoulder cooked,435,19.4,0.0,61.2,0.0,0.0,0.2,240.7,150.2
beef tenderloin steak raw,405,29.8,0.0,32.2,0.0,0.0,0.032,139.4,102.0
veal shank cooked,371,12.0,0.0,61.2,0.0,0.0,0.2,240.6,139.6
beef brisket raw,1139,86.5,0.0,83.6,0.0,0.0,0.3,308.4,205.0
pastrami beef,104,4.1,0.3,15.5,0.08,0.0,0.8,48.3,28.8
beef flank steak raw,47,2.3,0.0,6.0,0.0,0.0,0.054,19.2,16.3
beef top sirloin steak cooked,430,25.2,0.0,47.7,0.0,0.0,0.055,162.8,111.4
veal breast raw,943,66.9,0.0,79.2,0.0,0.0,0.3,322.1,180.3
beef rib raw,1433,123.8,0.0,73.8,0.0,0.0,0.2,322.1,241.7
beef jerky,82,5.1,2.2,6.6,1.8,0.4,0.4,9.6,19.4
beef breakfast strips cooked,51,3.9,0.2,3.5,0.0,0.0,0.3,13.4,9.0
pork olive loaf,66,4.6,2.6,3.3,0.0,0.0,0.3,10.6,41.265
beef luncheon meat jellied,31,0.9,0.0,5.3,0.0,0.0,0.4,9.5,10.0
turkey pastrami,38,1.8,0.5,4.6,1.0,0.062,0.3,19.4,13.579
pork salami,41,3.4,0.2,2.3,0.0,0.0,0.2,7.9,7.3
canadian style bacon raw,45,2.0,0.5,5.9,0.0,0.0,0.3,14.3,10.9
honey loaf,85,3.6,2.6,9.9,2.6,0.0,0.4,26.2,47.5
pork beef salami,37,3.1,0.076,2.1,0.008,0.0,0.2,10.6,5.334
beef pork bologna,92,7.4,1.6,4.6,1.3,0.0,0.3,18.0,39.702
pork beef salami cooked,41,3.2,0.3,2.7,0.1,0.0,0.2,10.9,8.2
pork breakfast strips raw,88,8.4,0.2,2.7,0.0,0.0,0.2,15.6,19.4
pickle pimiento loaf,86,6.1,3.2,4.3,3.2,0.6,0.4,22.0,59.105
luxury loaf,39,1.3,1.4,5.2,0.0,0.0,0.3,10.1,18.3
mortadella,47,3.8,0.5,2.5,0.0,0.0,0.2,8.4,9.7
pork bologna,69,5.6,0.2,4.3,0.0,0.0,0.3,16.5,13.4
turkey salami cooked,9,0.5,0.081,1.0,0.063,0.054,0.023,3.8,3.796
pepperoni beef,10,0.9,0.0,0.5,0.0,0.0,0.09,2.1,1.902
peppered loaf,42,1.8,1.3,4.9,1.3,0.0,0.2,13.1,23.7
luncheon meat beef,10,0.3,0.0,1.8,0.0,0.0,0.1,3.2,3.3
lebanon bologna,98,6.0,0.3,10.8,0.0,0.0,0.8,31.4,30.243
chicken pork bologna,94,8.6,1.2,2.9,0.0,0.0,0.3,24.4,71.678
turkey roll,40,1.9,0.6,4.9,0.0,0.0,0.1,14.9,16.4
beef salami cooked,68,5.8,0.5,3.3,0.4,0.0,0.3,18.5,11.8
yachtwurst cooked,150,12.7,0.8,8.3,0.0,0.0,0.5,35.8,33.0
italian salami,43,3.7,0.1,2.2,0.1,0.0,0.2,8.0,7.2
turkey ham,38,1.6,0.3,5.5,0.1,0.0,0.3,18.8,9.2
turkey bologna,59,4.5,1.3,3.2,0.8,0.1,0.3,21.0,48.096
sliced turkey breast,17,0.6,0.4,2.4,0.1,0.0,0.1,7.8,3.572
luncheon meat pork beef,99,9.0,0.7,3.5,0.0,0.0,0.4,15.4,15.9
beef bologna,90,7.8,1.3,3.3,0.6,0.0,0.3,17.1,12.962
turkey bacon cooked,313,22.9,2.5,24.3,0.0,0.0,1.9,80.4,58.8
